#id1,id2,weight
A,Code,1
H,Code,1
L,Code,1
P,Code,1
R,Code,1
S,Code,1
T,Code,1
U,Code,1
V,Code,1
ADM3,A,1
ADM3,Code,1
PRSH,A,1
PRSH,Code,1
ADM2,A,1
ADM2,Code,1
ZN,A,1
ZN,Code,1
ADM4,A,1
ADM4,Code,1
ADM1H,A,1
ADM1H,Code,1
STM,H,1
STM,Code,1
RCH,H,1
RCH,Code,1
LK,H,1
LK,Code,1
STMSB,H,1
STMSB,Code,1
PND,H,1
PND,Code,1
RSV,H,1
RSV,Code,1
MRSH,H,1
MRSH,Code,1
WTRC,H,1
WTRC,Code,1
PNDS,H,1
PNDS,Code,1
HBR,H,1
HBR,Code,1
CMN,L,1
CMN,Code,1
PRK,L,1
PRK,Code,1
AREA,L,1
AREA,Code,1
LCTY,L,1
LCTY,Code,1
CTRB,L,1
CTRB,Code,1
MVA,L,1
MVA,Code,1
RESF,L,1
RESF,Code,1
RESN,L,1
RESN,Code,1
GRAZ,L,1
GRAZ,Code,1
RGN,L,1
RGN,Code,1
PPLA3,P,1
PPLA3,Code,1
PPL,P,1
PPL,Code,1
PPLX,P,1
PPLX,Code,1
PPLC,P,1
PPLC,Code,1
PPLL,P,1
PPLL,Code,1
PPLA4,P,1
PPLA4,Code,1
RDA,R,1
RDA,Code,1
TNL,R,1
TNL,Code,1
ST,R,1
ST,Code,1
RDJCT,R,1
RDJCT,Code,1
TNLRD,R,1
TNLRD,Code,1
RD,R,1
RD,Code,1
RJCT,R,1
RJCT,Code,1
TNLRR,R,1
TNLRR,Code,1
RYD,R,1
RYD,Code,1
EST,S,1
EST,Code,1
RSTN,S,1
RSTN,Code,1
MTRO,S,1
MTRO,Code,1
BDG,S,1
BDG,Code,1
LOCK,S,1
LOCK,Code,1
PAL,S,1
PAL,Code,1
RSTNQ,S,1
RSTNQ,Code,1
CH,S,1
CH,Code,1
CSTL,S,1
CSTL,Code,1
TOWR,S,1
TOWR,Code,1
STDM,S,1
STDM,Code,1
HSP,S,1
HSP,Code,1
OBS,S,1
OBS,Code,1
AIRP,S,1
AIRP,Code,1
STNM,S,1
STNM,Code,1
HTL,S,1
HTL,Code,1
BCN,S,1
BCN,Code,1
HSTS,S,1
HSTS,Code,1
OBPT,S,1
OBPT,Code,1
THTR,S,1
THTR,Code,1
MUS,S,1
MUS,Code,1
BLDG,S,1
BLDG,Code,1
MALL,S,1
MALL,Code,1
CTRR,S,1
CTRR,Code,1
MKT,S,1
MKT,Code,1
MNMT,S,1
MNMT,Code,1
BRKS,S,1
BRKS,Code,1
SQR,S,1
SQR,Code,1
CTHSE,S,1
CTHSE,Code,1
BANK,S,1
BANK,Code,1
UNIV,S,1
UNIV,Code,1
OPRA,S,1
OPRA,Code,1
STNR,S,1
STNR,Code,1
CTRCM,S,1
CTRCM,Code,1
HSE,S,1
HSE,Code,1
HSPC,S,1
HSPC,Code,1
LIBR,S,1
LIBR,Code,1
SCH,S,1
SCH,Code,1
CMTY,S,1
CMTY,Code,1
PO,S,1
PO,Code,1
ATM,S,1
ATM,Code,1
PRN,S,1
PRN,Code,1
MLWND,S,1
MLWND,Code,1
REST,S,1
REST,Code,1
ARCHV,S,1
ARCHV,Code,1
PP,S,1
PP,Code,1
BUSTN,S,1
BUSTN,Code,1
PS,S,1
PS,Code,1
ADMF,S,1
ADMF,Code,1
FCL,S,1
FCL,Code,1
FY,S,1
FY,Code,1
RUIN,S,1
RUIN,Code,1
SWT,S,1
SWT,Code,1
SCHC,S,1
SCHC,Code,1
BLDO,S,1
BLDO,Code,1
DCKY,S,1
DCKY,Code,1
DCKD,S,1
DCKD,Code,1
ATHF,S,1
ATHF,Code,1
MAR,S,1
MAR,Code,1
RECG,S,1
RECG,Code,1
PRKGT,S,1
PRKGT,Code,1
GRVE,S,1
GRVE,Code,1
AIRH,S,1
AIRH,Code,1
GDN,S,1
GDN,Code,1
AGRF,S,1
AGRF,Code,1
MFGB,S,1
MFGB,Code,1
FRM,S,1
FRM,Code,1
TMB,S,1
TMB,Code,1
ARCH,S,1
ARCH,Code,1
AIRF,S,1
AIRF,Code,1
RET,S,1
RET,Code,1
SPA,S,1
SPA,Code,1
PT,T,1
PT,Code,1
ISL,T,1
ISL,Code,1
HLL,T,1
HLL,Code,1
FRST,V,1
FRST,Code,1
MDW,V,1
MDW,Code,1
HTH,V,1
HTH,Code,1
Wrotham,EST,1
Wrotham,S,1
Wrotham,Code,1
Park:0,EST,1
Park:0,S,1
Park:0,Code,1
Syon:1,EST,1
Syon:1,S,1
Syon:1,Code,1
House:5,EST,1
House:5,S,1
House:5,Code,1
Woolwich:0,PPLA3,1
Woolwich:0,P,1
Woolwich:0,Code,1
Wood:0,PPLA3,1
Wood:0,P,1
Wood:0,Code,1
Green:0,PPLA3,1
Green:0,P,1
Green:0,Code,1
City:0,PPLA3,1
City:0,P,1
City:0,Code,1
of:0,PPLA3,1
of:0,P,1
of:0,Code,1
Westminster:0,PPLA3,1
Westminster:0,P,1
Westminster:0,Code,1
Kensington:2,PPLA3,1
Kensington:2,P,1
Kensington:2,Code,1
Ham:1,PPLA3,1
Ham:1,P,1
Ham:1,Code,1
Wembley:0,PPLA3,1
Wembley:0,P,1
