#id1,id2,weight
A,Code,1
H,Code,1
L,Code,1
P,Code,1
R,Code,1
S,Code,1
T,Code,1
U,Code,1
V,Code,1
ADM3,A,1
PRSH,A,1
ADM2,A,1
ZN,A,1
ADM4,A,1
ADM1H,A,1
STM,H,1
RCH,H,1
LK,H,1
STMSB,H,1
PND,H,1
RSV,H,1
MRSH,H,1
WTRC,H,1
PNDS,H,1
HBR,H,1
CMN,L,1
PRK,L,1
AREA,L,1
LCTY,L,1
CTRB,L,1
MVA,L,1
RESF,L,1
RESN,L,1
GRAZ,L,1
RGN,L,1
PPLA3,P,1
PPL,P,1
PPLX,P,1
PPLC,P,1
PPLL,P,1
PPLA4,P,1
RDA,R,1
TNL,R,1
ST,R,1
RDJCT,R,1
TNLRD,R,1
RD,R,1
RJCT,R,1
TNLRR,R,1
RYD,R,1
EST,S,1
RSTN,S,1
MTRO,S,1
BDG,S,1
LOCK,S,1
PAL,S,1
RSTNQ,S,1
CH,S,1
CSTL,S,1
TOWR,S,1
STDM,S,1
HSP,S,1
OBS,S,1
AIRP,S,1
STNM,S,1
HTL,S,1
BCN,S,1
HSTS,S,1
OBPT,S,1
THTR,S,1
MUS,S,1
BLDG,S,1
MALL,S,1
CTRR,S,1
MKT,S,1
MNMT,S,1
BRKS,S,1
SQR,S,1
CTHSE,S,1
BANK,S,1
UNIV,S,1
OPRA,S,1
STNR,S,1
CTRCM,S,1
HSE,S,1
HSPC,S,1
LIBR,S,1
SCH,S,1
CMTY,S,1
PO,S,1
ATM,S,1
PRN,S,1
MLWND,S,1
REST,S,1
ARCHV,S,1
PP,S,1
BUSTN,S,1
PS,S,1
ADMF,S,1
FCL,S,1
FY,S,1
RUIN,S,1
SWT,S,1
SCHC,S,1
BLDO,S,1
DCKY,S,1
DCKD,S,1
ATHF,S,1
MAR,S,1
RECG,S,1
PRKGT,S,1
GRVE,S,1
AIRH,S,1
GDN,S,1
AGRF,S,1
MFGB,S,1
FRM,S,1
TMB,S,1
ARCH,S,1
AIRF,S,1
RET,S,1
SPA,S,1
PT,T,1
ISL,T,1
HLL,T,1
FRST,V,1
MDW,V,1
HTH,V,1
Wrotham,EST,1
Park:0,EST,1
Syon:1,EST,1
House:5,EST,1
Woolwich:0,PPLA3,1
Wood:0,PPLA3,1
Green:0,PPLA3,1
City:0,PPLA3,1
of:0,PPLA3,1
Westminster:0,PPLA3,1
Kensington:2,PPLA3,1
Ham:1,PPLA3,1
Wembley:0,PPLA3,1
Wandsworth:0,PPLA3,1
Walthamstow:0,PPLA3,1
London:1,PPLA3,1
Twickenham:0,PPLA3,1
Thames:2,PPLA3,1
Poplar:0,PPLA3,1
Morden:0,PPLA3,1
Islington:0,PPLA3,1
Ilford:0,PPLA3,1
Hendon:0,PPLA3,1
Harrow:1,PPLA3,1
Hammersmith:0,PPLA3,1
Hackney:0,PPLA3,1
Enfield:1,PPLA3,1
Town:0,PPLA3,1
East:1,PPLA3,1
Ealing:0,PPLA3,1
Catford:0,PPLA3,1
Bromley:0,PPLA3,1
Bexleyheath:0,PPLA3,1
Camden:1,PPLA3,1
upon:1,PPLA3,1
Camberwell,PPLA3,1
Kingston:1,PPLA3,1
Park:6,PPL,1
Woolwich:1,PPL,1
Wood:3,PPL,1
Green:1,PPL,1
Woodford:0,PPL,1
Winchmore:0,PPL,1
Hill:0,PPL,1
Wimbledon:2,PPL,1
Common:3,PPL,1
Willesden:1,PPL,1
Whetstone:0,PPL,1
West:3,PPL,1
Norwood:2,PPL,1
of:16,PPL,1
Westminster:8,PPL,1
Ham:0,PPL,1
Welling:0,PPL,1
Wealdstone:0,PPL,1
Wanstead:0,PPL,1
London:27,PPL,1
Victoria:6,PPL,1
Upper:2,PPL,1
Clapton:3,PPL,1
Tower:8,PPL,1
Hamlets:1,PPL,1
Totteridge:0,PPL,1
Tottenham:0,PPL,1
Thornton:0,PPL,1
Heath:0,PPL,1
The:0,PPL,1
Hyde:0,PPL,1
Teddington:0,PPL,1
Sudbury:0,PPL,1
Streatham:0,PPL,1
Strawberry:0,PPL,1
Stratford:0,PPL,1
Stepney:0,PPL,1
Stanmore:0,PPL,1
South:4,PPL,1
Southgate:0,PPL,1
Snaresbrook:0,PPL,1
Sidcup:0,PPL,1
Shoreditch:0,PPL,1
Shepherds:0,PPL,1
Bush:0,PPL,1
Seven:3,PPL,1
Kings:4,PPL,1
St:14,PPL,1
Richmond:1,PPL,1
Puddle,PPL,1
Dock:0,PPL,1
Preston:0,PPL,1
Ponders:0,PPL,1
End:0,PPL,1
Plumstead:0,PPL,1
Perivale:0,PPL,1
Palmers:0,PPL,1
Paddington:0,PPL,1
Notting:2,PPL,1
North:0,PPL,1
Acton:0,PPL,1
New:0,PPL,1
Malden:1,PPL,1
Cross:6,PPL,1
Barnet:0,PPL,1
Molesey,PPL,1
Mitcham:1,PPL,1
Junction:1,PPL,1
Mill:0,PPL,1
Mayfair:0,PPL,1
Lower:2,PPL,1
Loughton:0,PPL,1
Street:5,PPL,1
Leyton:0,PPL,1
King's:1,PPL,1
Kingsbury:1,PPL,1
Kidbrooke:0,PPL,1
Kew:0,PPL,1
Gardens:0,PPL,1
Kenton:0,PPL,1
Isleworth:0,PPL,1
Hornsey:0,PPL,1
